ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
518,93.75,0,0,6.25,120,0,0,8,128,92.99,4.08,2.93,0,571.63,25.11,18,0,614.737,96.78,2.7,0.52,0,123.88,3.45,0.66,0,128,1,0,0,0.0174579,0.0352729
519,33,2,1.5,63.5,66,4,3,127,200,63.08,24.86,12.06,0,52.77,20.83,10.11,0,83.707,53.06,24.12,22.82,0,106.12,48.24,45.64,0,200,1,0,0,0.00507605,0.00693139
520,97.59,0,0,2.41,162,0,0,4,166,94.59,3.33,2.08,0,366.77,12.9,8.08,0,387.756,99.54,0.33,0.13,0,165.23,0.55,0.22,0,166,1,0,0,0.0209467,0.0578578
521,37.1,34.68,28.23,0,46,43,35,0,124,32.23,44.57,23.19,0,50.15,69.33,36.08,0,155.571,37.1,34.68,28.23,0,46,43,35,0,124,0.57,0.31,0.11,6.81729e-4,0.00365534
522,88.89,0,0,11.11,96,0,0,12,108,97.79,1.55,0.66,0,313.92,4.99,2.11,0,321.015,92.25,4.75,3,0,99.63,5.13,3.24,0,108,1,0,0,0.0188042,0.0207259
523,51.44,0.48,0,48.08,107,1,0,100,208,72.17,15.23,12.3,0,3.03,0.69,0.54,0,4.259,71.93,14.76,13.3,0,149.62,30.71,27.67,0,208,1,0,0,0.00657198,0.014391
524,89.85,0.51,0,9.64,177,1,0,19,197,48.39,36.03,15.58,0,2.21,1.81,0.78,0,4.803,95.36,3.11,1.53,0,187.85,6.13,3.02,0,197,1,0,0,0.0116867,0.0394789
525,32.54,26.63,25.44,15.38,55,45,43,26,169,42.92,30.08,27,0,55.6,39,34.99,0,129.586,38.99,30.74,30.27,0,65.89,51.95,51.16,0,169,0.84,0.08,0.08,0.00158902,0.00189144
526,58.68,14.88,9.92,16.53,71,18,12,20,121,77.29,13.18,9.53,0,133.85,22.82,16.52,0,173.192,64,19.79,16.21,0,77.44,23.94,19.62,0,121,1,0,0,0.00312989,0.00639457
527,97.98,0.51,0.51,1.01,194,1,1,2,198,97.92,1.97,0.11,0,85.05,1.72,0.09,0,86.862,98.49,0.87,0.64,0,195,1.72,1.27,0,198,1,0,0,0.0133308,0.0541772
528,42.18,0.47,0,57.35,89,1,0,121,211,54.95,22.65,22.4,0,12.85,5.32,5.26,0,23.426,69.56,15.48,14.97,0,146.76,32.66,31.58,0,211,1,0,0,0.00559639,0.0123848
529,66.16,5.05,3.03,25.76,131,10,6,51,198,42.15,34.89,22.96,0,14.87,12.4,8.14,0,35.405,78,13.05,8.95,0,154.44,25.84,17.72,0,198,1,0,0,0.00613982,0.0167219
