ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
303,84.52,4.52,0.65,10.32,131,7,1,16,155,91.53,4.91,3.57,0,746.65,40.03,29.1,0,815.783,100,100,0.0108756
304,96.64,0,0,3.36,144,0,0,5,149,95.25,2.6,2.14,0,243.32,6.66,5.47,0,255.449,100,100,0.0181296
305,45.19,11.11,1.48,42.22,61,15,2,57,135,42.75,32.24,25.02,0,73.6,55.51,43.09,0,172.201,100,100,0.00528885
306,30.09,17.7,16.81,35.4,34,20,19,40,113,36.79,36.65,26.56,0,72.49,72.18,52.33,0,196.998,97.7,100,0.00204176
307,48.67,7.33,6,38,73,11,9,57,150,42.75,37.39,19.86,0,10.81,9.41,5.06,0,25.282,100,100,0.00448081
308,37.36,7.47,7.47,47.7,65,13,13,83,174,41.32,37.92,20.76,0,2.74,2.68,1.42,0,6.834,100,100,0.00391388
309,82.32,1.66,0.55,15.47,149,3,1,28,181,84.86,9.2,5.94,0,166.86,18.08,11.7,0,196.641,100,100,0.00776431
310,19.32,13.64,6.25,60.8,34,24,11,107,176,43.52,36.41,20.08,0,7.65,6.38,3.53,0,17.563,99.7,100,0.00179729
311,14.53,11.63,7.56,66.28,25,20,13,114,172,58.36,24.51,17.13,0,74.52,31.32,21.92,0,127.76,99.8,100,0.00196574
312,17.16,18.34,3.55,60.95,29,31,6,103,169,51.95,36.55,11.5,0,44.01,30.96,9.77,0,84.732,82.1,99,9.98402e-4
313,17.16,7.69,6.51,68.64,29,13,11,116,169,42.29,42.96,14.75,0,18.07,18.32,6.34,0,42.729,56.6,99,5.80784e-4
314,15.15,7.88,6.67,70.3,25,13,11,116,165,52.3,25.13,22.57,0,23.91,11.51,10.34,0,45.755,96.6,100,6.18556e-4
315,10.39,18.83,10.39,60.39,16,29,16,93,154,35.98,46.82,17.19,0,6.9,8.93,3.28,0,19.104,83.8,100,5.54704e-4
316,57.72,2.68,2.68,36.91,86,4,4,55,149,85.06,12.87,2.07,0,62.43,9.46,1.53,0,73.42,100,100,0.00325017
317,29.7,37.62,13.86,18.81,30,38,14,19,101,50.43,34.14,15.44,0,18.45,12.49,5.65,0,36.589,46,100,4.65511e-4
318,94.23,1.28,0.64,3.85,147,2,1,6,156,94.67,3.08,2.24,0,213.6,6.96,5.07,0,225.631,100,100,0.0134882
319,93.89,1.11,0.56,4.44,169,2,1,8,180,66.69,17.49,15.82,0,174.15,45.71,41.32,0,261.19,100,100,0.0188788
320,57.14,22.86,20,0,80,32,28,0,140,52.09,26.9,21.01,0,313.24,161.76,126.32,0,601.322,100,100,0.00412949
321,66.06,0.92,0.46,32.57,144,2,1,71,218,61.1,21.71,17.19,0,211.2,75.1,59.48,0,345.779,100,100,0.00798546
322,5.88,3.62,3.62,86.88,13,8,8,192,221,35.31,35.99,28.7,0,74.96,76.39,60.93,0,212.282,88.6,99,6.27666e-4
323,23.12,0.5,0.5,75.88,46,1,1,151,199,34.25,37.27,28.49,0,33.09,36.02,27.51,0,96.611,100,100,0.00218999
324,79.27,0,0,20.73,153,0,0,40,193,53.35,31.56,15.09,0,25.37,15.05,7.25,0,47.665,100,100,0.0141185
325,17.1,12.44,9.33,61.14,33,24,18,118,193,12.51,44.46,43.04,0,1.76,6.15,5.92,0,13.826,14.9,90,6.04855e-4
326,22.28,7.77,5.18,64.77,43,15,10,125,193,56.3,32.11,11.59,0,6.79,3.88,1.4,0,12.08,100,100,0.00164838
327,32.83,6.06,4.55,56.57,65,12,9,112,198,54.25,23.4,22.36,0,11.98,5.19,5,0,22.167,100,100,0.00277593
328,68.16,1.68,0.56,29.61,122,3,1,53,179,61.94,23.83,14.23,0,16.46,6.39,3.82,0,26.67,100,100,0.00756149
329,41.46,24.39,7.32,26.83,17,10,3,11,41,46.38,36.37,17.25,0,5.03,3.91,1.88,0,10.824,96.6,100,0.00447057
330,46.1,17.73,16.31,19.86,65,25,23,28,141,63.02,24.06,12.92,0,24.31,9.27,4.98,0,38.568,99.9,100,0.00264897
331,72.66,6.25,3.91,17.19,93,8,5,22,128,77.04,13.51,9.45,0,36.15,6.36,4.45,0,46.963,100,100,0.00558805
332,31.09,21.01,9.24,38.66,37,25,11,46,119,51.14,32.68,16.18,0,13.24,8.49,4.22,0,25.946,40.2,99,4.99359e-4
333,24.51,20.59,11.76,43.14,25,21,12,44,102,51.69,25.79,22.52,0,19.32,9.63,8.43,0,37.381,75.2,100,4.96271e-4
