ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
264,42.21,4.55,1.3,51.95,65,7,2,80,154,54.8,29.58,15.62,0,51.91,28.05,14.83,0,94.787,70.41,15.47,14.12,0,108.43,23.82,21.75,0,154,1,0,0,0.0133021,0.117771
265,67.68,1.52,1.14,29.66,178,4,3,78,263,59.97,22.53,17.5,0,189.16,71.13,55.24,0,315.533,85.01,7.83,7.16,0,223.57,20.6,18.82,0,263,1,0,0,0.0199204,0.208999
266,51.27,7.63,6.78,34.32,121,18,16,81,236,37.04,40.17,22.79,0,26.18,28.48,16.14,0,70.808,69.12,15.82,15.06,0,163.13,37.32,35.54,0,236,1,0,0,0.013186,0.139527
267,25.58,8.37,6.51,59.53,55,18,14,128,215,49.06,36.64,14.31,0,17.87,13.31,5.24,0,36.422,48.53,27.99,23.48,0,104.34,60.17,50.49,0,215,1,0,0,0.00691376,0.0780081
268,11.69,9.52,4.76,74.03,27,22,11,171,231,44.8,27.87,27.33,0,67.44,41.96,41.16,0,150.557,41.64,31.19,27.16,0,96.2,72.05,62.75,0,231,0.99,0.01,0.01,0.00293409,0.0628978
269,69.85,0.74,0,29.41,190,2,0,80,272,67,19.38,13.62,0,115.18,33.37,23.45,0,172,89.1,6.49,4.42,0,242.34,17.64,12.02,0,272,1,0,0,0.0245994,0.297312
270,50,1.87,1.49,46.64,134,5,4,125,268,48.81,29.3,21.89,0,21.03,12.71,9.47,0,43.207,76.01,12.75,11.24,0,203.7,34.16,30.14,0,268,1,0,0,0.0142576,0.186279
271,8.53,6.16,4.27,81.04,18,13,9,171,211,31.67,40.29,28.04,0,27.13,34.48,24,0,85.609,40.91,30.9,28.2,0,86.31,65.19,59.49,0,211,0.97,0.02,0.01,0.00258537,0.0427247
272,5.38,0.9,0.45,93.27,12,2,1,208,223,39.63,32.18,28.2,0,79.12,64.28,56.35,0,199.756,38.35,33.04,28.61,0,85.52,73.68,63.8,0,223,0.83,0.12,0.05,0.00237313,0.0307954
273,4.38,1.46,1.46,92.7,12,4,4,254,274,46.29,31.96,21.75,0,96.51,66.66,45.36,0,208.53,40.05,31.95,28.01,0,109.72,87.53,76.74,0,274,0.97,0.02,0.01,0.00257185,0.0223441
274,14.4,8.23,7.82,69.55,35,20,19,169,243,39.47,43.9,16.63,0,61.51,68.44,25.92,0,155.875,37.16,31.89,30.94,0,90.31,77.5,75.19,0,243,0.75,0.13,0.11,0.00411782,0.0223735
275,75.72,2.06,1.65,20.58,184,5,4,50,243,88.46,6.79,4.75,0,812.43,62.38,43.59,0,918.406,85.25,8.67,6.09,0,207.15,21.06,14.79,0,243,1,0,0,0.020269,0.261593
276,0.99,1.99,1.66,95.36,3,6,5,288,302,31.24,36.83,31.93,0,48.4,57.05,49.44,0,154.882,34.85,36.53,28.62,0,105.24,110.32,86.43,0,302,0.3,0.63,0.07,0.00146177,0.0134082
