ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
494,7.01,7.94,3.27,81.78,15,17,7,175,214,44.93,33.78,21.29,0,110.92,83.4,52.57,0,246.885,82.6,100,0.00165329
495,15.27,12.32,7.39,65.02,31,25,15,132,203,40.68,40.25,19.07,0,62.9,62.28,29.49,0,154.67,98.8,100,0.00383687
496,75.83,3.32,1.42,19.43,160,7,3,41,211,87.49,7.16,5.36,0,659.94,53.99,40.42,0,754.357,100,100,0.0198913
497,7.66,3.07,1.92,87.36,20,8,5,228,261,39.43,36.21,24.35,0,52.13,47.82,32.21,0,132.158,98.4,100,0.00208723
498,49.54,2.78,2.78,44.91,107,6,6,97,216,53.93,24.46,21.62,0,159.62,72.44,64.01,0,296.067,100,100,0.0142062
499,15.9,10.26,5.13,68.72,31,20,10,134,195,33.2,40.17,26.63,0,69.26,83.87,55.62,0,208.755,96.6,100,0.00384513
500,16.26,1.22,0.81,81.71,40,3,2,201,246,56.23,23.94,19.82,0,72.17,30.76,25.48,0,128.412,100,100,0.00572518
501,6.57,9.86,4.69,78.87,14,21,10,168,213,35.01,36.72,28.27,0,53.27,55.79,42.9,0,151.96,32,99,0.00180148
502,13.74,9,3.32,73.93,29,19,7,156,211,50.05,29.1,20.85,0,124.16,72.21,51.75,0,248.117,100,100,0.00464585
503,21.96,10.75,6.54,60.75,47,23,14,130,214,41.51,32.43,26.06,0,94.66,73.97,59.45,0,228.086,99.9,100,0.00413239
504,23.22,21.33,12.8,42.65,49,45,27,90,211,43.89,33.69,22.42,0,53.18,40.85,27.19,0,121.217,97.3,100,0.00345961
505,87.67,1.37,0.46,10.5,192,3,1,23,219,95.69,2.96,1.35,0,716.61,22.16,10.1,0,748.861,100,100,0.0210402
506,35.27,3.13,2.68,58.93,79,7,6,132,224,50.9,26.95,22.15,0,162.81,86.24,70.87,0,319.92,100,100,0.00753589
507,64.73,0.97,0.97,33.33,134,2,2,69,207,70.54,19.1,10.35,0,71,19.31,10.45,0,100.765,100,100,0.0175764
508,43.04,20,17.83,19.13,99,46,41,44,230,35.31,35.7,28.99,0,45.16,45.67,37.09,0,127.918,100,100,0.00519448
