ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
282,10,1.6,0,88.4,25,4,0,221,250,51.45,27.39,21.16,0,119.55,63.69,49.21,0,232.445,100,100,0.00559088
283,3.59,10.76,7.97,77.69,9,27,20,195,251,40.16,33.2,26.64,0,56.54,46.69,37.49,0,140.715,62.1,98,0.00242319
284,14.93,5.6,2.99,76.49,40,15,8,205,268,39.18,35.39,25.43,0,47.38,42.84,30.78,0,121,100,100,0.00597411
285,20.75,9.96,7.05,62.24,50,24,17,150,241,43.25,29.47,27.28,0,100.56,68.55,63.46,0,232.574,99.8,100,0.00471486
286,25.42,18.33,12.08,44.17,61,44,29,106,240,42.45,28.79,28.76,0,47.15,32,31.94,0,111.088,99.4,100,0.00438029
287,89.96,1.67,0.84,7.53,215,4,2,18,239,96.16,2.23,1.61,0,845.12,19.64,14.13,0,878.888,100,100,0.0249015
288,33.2,5.93,1.19,59.68,84,15,3,151,253,51.79,25.22,22.99,0,145.09,70.67,64.41,0,280.175,100,100,0.009703
289,64.2,0.39,0,35.41,165,1,0,91,257,65.7,20.2,14.11,0,69.2,21.33,14.87,0,105.397,100,100,0.0207599
290,39.92,19.76,18.58,21.74,101,50,47,55,253,36.77,31.7,31.53,0,43.28,37.31,37.13,0,117.726,100,100,0.00625947
291,60.64,12.45,10.84,16.06,151,31,27,40,249,78.89,11.5,9.61,0,390.7,56.96,47.61,0,495.266,100,100,0.010441
292,50.94,7.49,5.99,35.58,136,20,16,95,267,50.35,26.63,23.02,0,79.9,42.27,36.58,0,158.749,100,100,0.0113362
293,42.24,21.55,17.67,18.53,98,50,41,43,232,52.35,25.72,21.93,0,276.34,135.79,115.81,0,527.929,100,100,0.00701741
294,8.74,8.74,4.2,78.32,25,25,12,224,286,22.83,48.61,28.56,0,11.83,25.13,14.81,0,51.769,85.3,98,0.00344437
295,9.16,6.96,2.2,81.68,25,19,6,223,273,23.98,47.4,28.62,0,8.26,16.25,9.84,0,34.348,99.9,100,0.00487188
296,4.26,8.14,2.71,84.88,11,21,7,219,258,22.45,54.61,22.94,0,19.74,47.97,20.13,0,87.838,99.3,100,0.00409872
297,3.83,5.75,2.3,88.12,10,15,6,230,261,25.39,52.84,21.78,0,23.32,48.51,19.99,0,91.816,34.3,89,0.00298263
298,7.38,3.28,1.23,88.11,18,8,3,215,244,31.58,47.22,21.2,0,28.26,42.28,19,0,89.527,100,100,0.00580789
299,3.44,4.58,1.15,90.84,9,12,3,238,262,37.59,35.62,26.79,0,48.23,45.72,34.35,0,128.294,85.4,55,0.00269734
300,3.47,2.08,0.69,93.75,10,6,2,270,288,30.28,37.69,32.03,0,32.24,40.17,34.12,0,106.532,92.5,55,0.00223605
301,3.9,4.96,2.48,88.65,11,14,7,250,282,23.8,41.07,35.13,0,18.45,31.88,27.26,0,77.579,27,58,0.00238504
302,9.45,6.55,4,80,26,18,11,220,275,27.28,41.82,30.9,0,8.12,12.42,9.18,0,29.721,92.4,95,0.00386536
303,65.02,2.28,1.52,31.18,171,6,4,82,263,68.93,16.76,14.31,0,12.6,3.08,2.64,0,18.316,100,100,0.0199996
304,78.49,2.87,2.15,16.49,219,8,6,46,279,73.2,14.35,12.46,0,14.44,2.88,2.5,0,19.811,100,100,0.0230939
305,33.6,14.98,13.77,37.65,83,37,34,93,247,38.48,31.5,30.02,0,10.62,8.76,8.38,0,27.755,100,100,0.00430054
306,34.91,20.69,16.38,28.02,81,48,38,65,232,51.77,24.47,23.76,0,154.08,72.84,70.72,0,297.637,99.7,100,0.00399472
307,55.68,5.68,3.79,34.85,147,15,10,92,264,50.05,28.03,21.92,0,21.37,12.01,9.4,0,42.79,100,100,0.00916949
308,35.2,23.6,23.2,18,88,59,58,45,250,48.74,26.43,24.83,0,146.61,79.51,74.71,0,300.827,99.9,100,0.00333604
309,88.02,3.72,2.07,6.2,213,9,5,15,242,80.69,10.97,8.34,0,98.58,13.42,10.2,0,122.209,100,100,0.023632
310,97.02,0,0,2.98,228,0,0,7,235,93.2,3.6,3.19,0,267.38,10.35,9.17,0,286.907,100,100,0.0524199
311,38.68,2.44,0.7,58.19,111,7,2,167,287,51.42,25.48,23.1,0,16.26,8.13,7.36,0,31.757,100,100,0.0145491
312,65.52,3.83,3.83,26.82,171,10,10,70,261,52.74,29.79,17.48,0,29.31,16.65,9.76,0,55.714,100,100,0.0174221
313,35.37,21.95,16.26,26.42,87,54,40,65,246,39.29,34.72,25.99,0,99.06,87.55,65.56,0,252.173,99.9,100,0.00450577
314,43.92,13.76,11.11,31.22,83,26,21,59,189,56.33,22,21.67,0,228.6,89.29,87.97,0,405.864,100,100,0.00604919
315,78.91,3.91,3.52,13.67,202,10,9,35,256,79.41,10.55,10.04,0,210.34,27.95,26.62,0,264.916,100,100,0.0230822
316,74.68,0,0,25.32,177,0,0,60,237,84.97,7.73,7.3,0,452.13,41.13,38.88,0,532.145,100,100,0.0293306
317,8.28,3.1,0.69,87.93,24,9,2,255,290,46.5,27.22,26.28,0,15.98,9.38,9.08,0,34.442,94.9,62,0.0039141
318,78.76,0,0,21.24,204,0,0,55,259,64.49,22.02,13.49,0,26.17,9.01,5.5,0,40.676,100,100,0.0349013
319,18.93,14.4,7.82,58.85,46,35,19,143,243,49.38,26.91,23.71,0,61.18,33.35,29.41,0,123.931,96.7,100,0.00209346
320,11.52,8.23,5.35,74.9,28,20,13,182,243,47.91,26.24,25.85,0,55.6,30.48,30.01,0,116.094,98.6,100,0.00205301
